x1 value: 7, x2 value: 30, min iterations: 70
x1 value: 8, x2 value: 0, min iterations: 66
x1 value: 8, x2 value: 1, min iterations: 65
x1 value: 8, x2 value: 2, min iterations: 65
x1 value: 8, x2 value: 3, min iterations: 55
x1 value: 8, x2 value: 4, min iterations: 55
x1 value: 8, x2 value: 5, min iterations: 54
x1 value: 8, x2 value: 6, min iterations: 45
x1 value: 8, x2 value: 7, min iterations: 35
x1 value: 8, x2 value: 8, min iterations: 8
x1 value: 8, x2 value: 9, min iterations: 34
x1 value: 8, x2 value: 10, min iterations: 43
x1 value: 8, x2 value: 11, min iterations: 51
x1 value: 8, x2 value: 12, min iterations: 51
x1 value: 8, x2 value: 13, min iterations: 50
x1 value: 8, x2 value: 14, min iterations: 59
x1 value: 8, x2 value: 15, min iterations: 58
x1 value: 8, x2 value: 16, min iterations: 58
x1 value: 8, x2 value: 17, min iterations: 57
x1 value: 8, x2 value: 18, min iterations: 57
x1 value: 8, x2 value: 19, min iterations: 65
x1 value: 8, x2 value: 20, min iterations: 65
x1 value: 8, x2 value: 21, min iterations: 64
x1 value: 8, x2 value: 22, min iterations: 64
x1 value: 8, x2 value: 23, min iterations: 63
x1 value: 8, x2 value: 24, min iterations: 63
x1 value: 8, x2 value: 25, min iterations: 62
x1 value: 8, x2 value: 26, min iterations: 62
x1 value: 8, x2 value: 27, min iterations: 62
x1 value: 8, x2 value: 28, min iterations: 62
x1 value: 8, x2 value: 29, min iterations: 70
x1 value: 8, x2 value: 30, min iterations: 70
x1 value: 9, x2 value: 0, min iterations: 65
x1 value: 9, x2 value: 1, min iterations: 65
x1 value: 9, x2 value: 2, min iterations: 64
x1 value: 9, x2 value: 3, min iterations: 64
x1 value: 9, x2 value: 4, min iterations: 54
x1 value: 9, x2 value: 5, min iterations: 54
x1 value: 9, x2 value: 6, min iterations: 53
x1 value: 9, x2 value: 7, min iterations: 44
x1 value: 9, x2 value: 8, min iterations: 34
x1 value: 9, x2 value: 9, min iterations: 7
x1 value: 9, x2 value: 10, min iterations: 33
x1 value: 9, x2 value: 11, min iterations: 42
x1 value: 9, x2 value: 12, min iterations: 50
x1 value: 9, x2 value: 13, min iterations: 50
x1 value: 9, x2 value: 14, min iterations: 49
x1 value: 9, x2 value: 15, min iterations: 58
x1 value: 9, x2 value: 16, min iterations: 57
x1 value: 9, x2 value: 17, min iterations: 57
x1 value: 9, x2 value: 18, min iterations: 56
x1 value: 9, x2 value: 19, min iterations: 56
x1 value: 9, x2 value: 20, min iterations: 64
x1 value: 9, x2 value: 21, min iterations: 64
x1 value: 9, x2 value: 22, min iterations: 63
x1 value: 9, x2 value: 23, min iterations: 63
x1 value: 9, x2 value: 24, min iterations: 62
x1 value: 9, x2 value: 25, min iterations: 62
x1 value: 9, x2 value: 26, min iterations: 62
x1 value: 9, x2 value: 27, min iterations: 62 
x1 value: 9, x2 value: 28, min iterations: 61
x1 value: 9, x2 value: 29, min iterations: 61
x1 value: 9, x2 value: 30, min iterations: 70
x1 value: 10, x2 value: 0, min iterations: 65
x1 value: 10, x2 value: 1, min iterations: 64
x1 value: 10, x2 value: 2, min iterations: 64
x1 value: 10, x2 value: 3, min iterations: 63
x1 value: 10, x2 value: 4, min iterations: 63
x1 value: 10, x2 value: 5, min iterations: 53
x1 value: 10, x2 value: 6, min iterations: 53
x1 value: 10, x2 value: 7, min iterations: 52
x1 value: 10, x2 value: 8, min iterations: 43
x1 value: 10, x2 value: 9, min iterations: 33
x1 value: 10, x2 value: 10, min iterations: 6
x1 value: 10, x2 value: 11, min iterations: 32
x1 value: 10, x2 value: 12, min iterations: 41
x1 value: 10, x2 value: 13, min iterations: 49
x1 value: 10, x2 value: 14, min iterations: 49
x1 value: 10, x2 value: 15, min iterations: 48
x1 value: 10, x2 value: 16, min iterations: 57
x1 value: 10, x2 value: 17, min iterations: 56
x1 value: 10, x2 value: 18, min iterations: 56
x1 value: 10, x2 value: 19, min iterations: 55
x1 value: 10, x2 value: 20, min iterations: 55
x1 value: 10, x2 value: 21, min iterations: 63
x1 value: 10, x2 value: 22, min iterations: 63
x1 value: 10, x2 value: 23, min iterations: 62
x1 value: 10, x2 value: 24, min iterations: 62
x1 value: 10, x2 value: 25, min iterations: 62
x1 value: 10, x2 value: 26, min iterations: 62
x1 value: 10, x2 value: 27, min iterations: 61
x1 value: 10, x2 value: 28, min iterations: 61
x1 value: 10, x2 value: 29, min iterations: 61
x1 value: 10, x2 value: 30, min iterations: 61
x1 value: 11, x2 value: 0, min iterations: 73
x1 value: 11, x2 value: 1, min iterations: 64
x1 value: 11, x2 value: 2, min iterations: 63
x1 value: 11, x2 value: 3, min iterations: 63
x1 value: 11, x2 value: 4, min iterations: 62
x1 value: 11, x2 value: 5, min iterations: 62
x1 value: 11, x2 value: 6, min iterations: 52
x1 value: 11, x2 value: 7, min iterations: 52
x1 value: 11, x2 value: 8, min iterations: 51
x1 value: 11, x2 value: 9, min iterations: 42
x1 value: 11, x2 value: 10, min iterations: 32
x1 value: 11, x2 value: 11, min iterations: 5
x1 value: 11, x2 value: 12, min iterations: 31
x1 value: 11, x2 value: 13, min iterations: 40
x1 value: 11, x2 value: 14, min iterations: 48
x1 value: 11, x2 value: 15, min iterations: 48
x1 value: 11, x2 value: 16, min iterations: 47
x1 value: 11, x2 value: 17, min iterations: 56
x1 value: 11, x2 value: 18, min iterations: 55
x1 value: 11, x2 value: 19, min iterations: 55
x1 value: 11, x2 value: 20, min iterations: 54
x1 value: 11, x2 value: 21, min iterations: 54
x1 value: 11, x2 value: 22, min iterations: 62
x1 value: 11, x2 value: 23, min iterations: 62
x1 value: 11, x2 value: 24, min iterations: 62
x1 value: 11, x2 value: 25, min iterations: 62
x1 value: 11, x2 value: 26, min iterations: 61
x1 value: 11, x2 value: 27, min iterations: 61
x1 value: 11, x2 value: 28, min iterations: 61
x1 value: 11, x2 value: 29, min iterations: 61
x1 value: 11, x2 value: 30, min iterations: 60
x1 value: 12, x2 value: 0, min iterations: 73
x1 value: 12, x2 value: 1, min iterations: 72
x1 value: 12, x2 value: 2, min iterations: 63
x1 value: 12, x2 value: 3, min iterations: 62
x1 value: 12, x2 value: 4, min iterations: 62
x1 value: 12, x2 value: 5, min iterations: 61
x1 value: 12, x2 value: 6, min iterations: 61
x1 value: 12, x2 value: 7, min iterations: 51
x1 value: 12, x2 value: 8, min iterations: 51
x1 value: 12, x2 value: 9, min iterations: 50
x1 value: 12, x2 value: 10, min iterations: 41
x1 value: 12, x2 value: 11, min iterations: 31
x1 value: 12, x2 value: 12, min iterations: 4
x1 value: 12, x2 value: 13, min iterations: 30
x1 value: 12, x2 value: 14, min iterations: 39
x1 value: 12, x2 value: 15, min iterations: 47
x1 value: 12, x2 value: 16, min iterations: 47
x1 value: 12, x2 value: 17, min iterations: 46
x1 value: 12, x2 value: 18, min iterations: 55
x1 value: 12, x2 value: 19, min iterations: 54
x1 value: 12, x2 value: 20, min iterations: 54
x1 value: 12, x2 value: 21, min iterations: 53
x1 value: 12, x2 value: 22, min iterations: 53
x1 value: 12, x2 value: 23, min iterations: 62
x1 value: 12, x2 value: 24, min iterations: 62
x1 value: 12, x2 value: 25, min iterations: 61
x1 value: 12, x2 value: 26, min iterations: 61
x1 value: 12, x2 value: 27, min iterations: 61
x1 value: 12, x2 value: 28, min iterations: 61
x1 value: 12, x2 value: 29, min iterations: 60
x1 value: 12, x2 value: 30, min iterations: 60
x1 value: 13, x2 value: 0, min iterations: 72
x1 value: 13, x2 value: 1, min iterations: 72
x1 value: 13, x2 value: 2, min iterations: 71
x1 value: 13, x2 value: 3, min iterations: 62
